v_link_id,time,area1,area2,area3
47873728002,00:00:00,40.94,70.47,0.0
47877889701,00:00:00,38.11,70.54,0.0
47877362801,00:00:00,49.59,56.5,0.0
47873728001,00:00:00,49.55,7.12,0.0
47871275102,00:00:00,48.43,16.21,0.09
47870084102,00:00:00,46.72,22.62,0.0
47870749701,00:00:00,26.55,92.24,0.0
47872982602,00:00:00,49.01,16.27,0.0
47874090601,00:00:00,37.16,67.85,0.0
47878059701,00:00:00,30.24,70.66,0.0
47878060601,00:00:00,18.35,93.63,0.0
47877362802,00:00:00,38.36,36.9,0.0
47876085801,00:00:00,27.57,75.06,0.0
47877609501,00:00:00,26.05,88.19,0.0
47871275101,00:00:00,45.61,60.25,0.0
47871573601,00:00:00,49.36,15.36,0.0
47874090402,00:00:00,43.17,25.12,0.0
57173567001,00:00:00,29.88,76.83,0.0
47871348702,00:00:00,30.2,86.01,0.0
47870666002,00:00:00,46.91,57.41,0.21
47877945001,00:00:00,33.28,77.96,0.0
47870484301,00:00:00,33.78,50.61,0.0
47876086401,00:00:00,43.37,53.19,0.0
47871209902,00:00:00,49.85,48.93,0.0
47871317201,00:00:00,44.07,54.49,0.0
47877895601,00:00:00,13.41,46.59,0.0
47875390401,00:00:00,21.92,83.09,0.0
47871346101,00:00:00,43.85,56.8,0.0
47877892401,00:00:00,41.96,65.33,0.0
47870660302,00:00:00,27.52,76.89,0.0
47871844301,00:00:00,32.29,82.42,0.0
47871573702,00:00:00,46.34,19.93,0.0
47872632501,00:00:00,16.93,94.25,0.0
47871844201,00:00:00,48.17,19.95,0.0
47872555302,00:00:00,29.55,70.31,0.0
47870286301,00:00:00,24.66,88.15,0.0
47870451001,00:00:00,14.32,89.2,0.0
47878080101,00:00:00,18.53,89.41,0.0
47871209901,00:00:00,47.3,27.48,0.0
47870749801,00:00:00,46.09,37.25,0.0
47872983001,00:00:00,21.43,51.22,0.0
57170544401,00:00:00,19.65,48.24,0.0
47877915901,00:00:00,21.93,87.94,0.0
47871162701,00:00:00,47.26,39.66,0.0
47877929901,00:00:00,21.45,84.76,0.0
47878072101,00:00:00,19.62,89.83,0.0
47870747601,00:00:00,16.38,66.09,0.0
47873727801,00:00:00,35.43,50.67,0.0
47872094202,00:00:00,38.68,42.37,0.0
47873728201,00:00:00,46.38,57.86,0.0
57172604701,00:00:00,40.61,86.06,0.0
47875390302,00:00:00,15.22,79.11,0.85
47870286802,00:00:00,44.97,33.25,0.0
57171273701,00:00:00,26.05,84.43,0.0
47876086301,00:00:00,45.12,32.69,0.0
57171936801,00:00:00,36.5,77.81,0.0
47874140202,00:00:00,20.03,79.2,0.13
57174250701,00:00:00,48.37,39.07,0.0
47871210502,00:00:00,31.8,47.63,0.0
47871351802,00:00:00,32.89,71.27,0.0
47874156202,00:00:00,24.19,78.45,0.15
47874204801,00:00:00,48.04,25.49,0.0
57174250602,00:00:00,39.69,67.11,0.0
47872559901,00:00:00,48.19,26.48,27.81
47877865901,00:00:00,26.91,66.06,0.15
47871416901,00:00:00,18.32,82.67,0.0
47877866001,00:00:00,41.92,28.21,0.0
47878073101,00:00:00,23.25,80.24,0.0
47878060701,00:00:00,18.25,81.61,0.0
47872109602,00:00:00,48.09,24.11,0.0
47877866002,00:00:00,50.0,12.15,0.0
47872666301,00:00:00,31.06,57.32,10.41
47877363202,00:00:00,34.62,61.81,0.31
47878052001,00:00:00,19.77,60.96,0.0
47871256001,00:00:00,24.33,74.63,0.15
47875227001,00:00:00,40.81,56.62,0.0
47871362401,00:00:00,50.0,15.71,0.0
47870666001,00:00:00,46.78,27.68,0.0
47871317202,00:00:00,50.13,12.89,0.0
47877609601,00:00:00,25.76,72.87,0.0
47871162702,00:00:00,49.04,12.69,0.0
47872559902,00:00:00,35.81,51.27,0.21
47871828301,00:00:00,29.98,82.77,0.0
47872101401,00:00:00,27.74,78.9,0.0
57170509101,00:00:00,60.37,36.89,0.0
47872555301,00:00:00,22.02,81.48,0.0
47870654901,00:00:00,30.61,71.63,0.0
47873728401,00:00:00,48.61,14.35,0.0
47871381401,00:00:00,48.35,15.94,0.0
47871337502,00:00:00,47.58,19.22,0.0
47878059802,00:00:00,44.35,37.42,0.0
47871210401,00:00:00,27.96,74.34,0.0
